встречаться;begegnen
опекать/забоиться/ухаживать;betreuen
вышестоящий;vorgesetzt
брать/давать взаймы/напрокат(a);ausleihen
брать/давать взаймы/напрокат(l);leihen
поднимать/повышать;Anheben
сдаваться/отказываться от чего-то;aufgeben
отдел/секция;die Abteilung
коробка/пачка;Die Schachtel
шляпа;Der Hut
мешок;Der Sack
очередь;Die Schlange
стоять в очереди/предстоять;anstehen
заблулится/сбиавться с пути;sich verlaufen
нигде;nirgendwo
покупать;anschaffen
иметь/обладать/владеть;besitzen
